Data do commit;Arquivo;Seletores de Tipo;Seletores de Classe;Seletores de ID
26/02/2015 16:27:07;src/main/webapp/files/metadata.css;20;11;0
26/02/2015 16:27:07;src/main/webapp/files/style.css;53;78;2
17/02/2015 10:08:07;src/main/webapp/files/style.css;53;78;2
23/01/2015 18:46:40;src/main/webapp/files/style.css;53;78;2
12/06/2014 06:27:16;src/main/webapp/files/odML/SelectionStyle.css;22;16;0
12/06/2014 06:27:16;src/main/webapp/files/odML/odMLSections/odMLSection.css;20;16;0
29/05/2014 11:37:21;src/main/webapp/files/style.css;53;76;2
25/05/2014 16:50:09;src/main/webapp/files/style.css;53;76;2
12/03/2014 18:59:04;src/main/webapp/files/jquery-ui-1.10.1.custom.min.css (removed);0;0;0
12/03/2014 18:59:04;src/main/webapp/files/jquery-ui.css;42;398;0
28/11/2013 21:02:20;src/main/webapp/files/wizard-style.css;37;33;0
03/10/2013 13:10:10;src/main/webapp/files/common.css;50;80;0
03/10/2013 13:10:10;src/main/webapp/files/style.css;50;76;2
11/06/2013 11:55:05;src/main/webapp/files/visualization.css;3;4;11
24/05/2013 11:47:48;src/main/webapp/files/common.css;49;80;0
24/05/2013 11:47:48;src/main/webapp/files/search.css;7;10;0
24/05/2013 11:47:43;src/main/webapp/files/visualization.css;3;4;11
24/05/2013 11:47:43;src/main/webapp/files/visualization.css;3;4;10
24/05/2013 11:47:42;src/main/webapp/files/visualization.css;3;4;8
24/05/2013 11:47:42;src/main/webapp/files/visualization.css;3;3;8
24/05/2013 11:47:41;src/main/webapp/files/visualization.css;3;3;7
24/05/2013 11:47:41;src/main/webapp/files/visualization.css;3;3;7
24/05/2013 11:47:37;src/main/webapp/files/search.css;1;3;0
24/05/2013 11:43:04;src/main/webapp/files/colorPicker.css;2;4;0
24/05/2013 11:43:04;src/main/webapp/files/jquery.jqplot.min.css;4;57;0
24/05/2013 11:43:04;src/main/webapp/files/style.css;47;75;2
24/05/2013 11:43:04;src/main/webapp/files/visualization.css;3;3;6
21/05/2013 17:13:11;src/main/webapp/files/wizard-style.css;36;33;0
21/05/2013 12:29:43;src/main/webapp/files/wizard-style.css;36;33;0
15/05/2013 21:47:01;src/main/webapp/files/common.css;49;80;0
15/05/2013 21:47:01;src/main/webapp/files/search.css;7;10;0
