Data do commit;Arquivo;Seletores de Tipo;Seletores de Classe;Seletores de ID
24/11/2011 20:36:22;webapp/src/main/webapp/resources/css/layout.css;8;16;8
22/11/2011 22:07:57;webapp/src/main/webapp/resources/css/layout.css;8;14;8
21/11/2011 11:53:09;webapp/src/main/webapp/resources/css/layout.css;7;11;8
17/11/2011 19:11:05;webapp/src/main/webapp/resources/css/layout.css;5;9;8
16/11/2011 20:08:11;webapp/src/main/webapp/resources/css/codemirror.css;2;11;0
16/11/2011 20:08:11;webapp/src/main/webapp/resources/css/default.css;0;19;0
16/11/2011 20:08:11;webapp/src/main/webapp/resources/css/docs.css;12;21;0
08/11/2011 21:49:24;webapp/src/main/webapp/resources/css/layout.css;5;6;8
03/11/2011 21:14:26;webapp/src/main/webapp/resources/css/layout.css;5;4;8
03/11/2011 21:14:26;webapp/src/main/webapp/resources/css/rime.css (removed);0;0;0
24/10/2011 20:21:46;webapp/src/main/webapp/resources/css/layout.css;5;1;8
19/10/2011 18:56:16;webapp/src/main/webapp/resources/css/rime.css;122;440;0
19/10/2011 18:56:16;webapp/src/main/webapp/resources/css/showcase_layout.css;0;34;0
19/10/2011 18:56:16;webapp/src/main/webapp/resources/css/showcase_overrides.css;15;0;0
19/10/2011 18:56:16;webapp/src/main/webapp/resources/css/showcase_style.css;78;143;0
10/10/2011 19:47:28;webapp/src/main/webapp/resources/css/layout.css;5;1;8
08/10/2011 10:41:18;webapp/src/main/webapp/resources/css/layout.css;5;1;8
06/10/2011 19:51:44;webapp/src/main/webapp/resources/css/layout.css;7;6;8
05/10/2011 18:07:19;webapp/src/main/webapp/resources/css/layout.css;3;0;6
30/11/2010 15:48:04;web/css/main.css;20;23;5
02/11/2010 19:41:37;web/css/main.css;20;23;5
01/11/2010 16:42:14;web/css/main.css;20;23;5
29/10/2010 13:25:03;web/css/main.css;15;14;5
28/10/2010 12:07:58;web/css/main.css;15;11;5
27/10/2010 15:21:50;web/css/main.css;15;11;5
26/10/2010 14:03:54;web/css/main.css;9;8;5
25/10/2010 15:03:37;web/css/main.css;7;5;5
