Data do commit;Arquivo;Seletores de Tipo;Seletores de Classe;Seletores de ID
14/03/2014 03:30:43;whp-web/src/main/webapp/styles/standard.css;98;229;16
30/03/2013 03:29:34;motech-couchdb-crud/src/main/resources/motech-couchdb-crud/css/bootstrap.min.css;516;751;50
30/03/2013 03:29:34;motech-couchdb-crud/src/main/resources/motech-couchdb-crud/css/jquery-ui-1.9.1.custom.min.css;37;231;0
30/03/2013 03:09:20;motech-couchdb-crud/src/main/resources/motech-couchdb-crud/css/crud.css;5;6;1
30/03/2013 03:09:20;motech-couchdb-crud/src/main/resources/motech-couchdb-crud/css/motech-paginator-pagination.css;4;13;0
04/03/2013 10:27:16;whp-web/src/main/webapp/styles/standard.css;98;226;16
26/02/2013 08:52:00;whp-web/src/main/webapp/styles/standard.css;98;226;16
12/02/2013 07:45:47;whp-web/src/main/webapp/styles/standard.css;96;223;16
07/01/2013 10:46:44;whp-web/src/main/webapp/styles/standard.css;95;218;16
27/12/2012 03:32:16;whp-web/src/main/webapp/styles/standard.css;95;217;16
26/12/2012 13:12:47;whp-web/src/main/webapp/styles/standard.css;95;217;16
26/12/2012 12:22:12;whp-web/src/main/webapp/styles/standard.css;95;216;16
20/12/2012 04:51:34;whp-web/src/main/webapp/styles/standard.css;95;213;16
19/12/2012 09:24:22;whp-web/src/main/webapp/styles/standard.css;95;212;16
19/12/2012 09:21:08;whp-web/src/main/webapp/styles/standard.css;95;212;16
12/12/2012 08:58:38;whp-web/src/main/webapp/styles/standard.css;95;212;16
12/12/2012 08:58:03;whp-web/src/main/webapp/styles/standard.css;95;212;16
11/12/2012 12:03:00;whp-web/src/main/webapp/styles/standard.css;95;212;16
11/12/2012 09:21:26;whp-web/src/main/webapp/styles/standard.css;95;212;16
10/12/2012 11:13:13;whp-web/src/main/webapp/styles/standard.css;96;212;16
10/12/2012 11:11:12;whp-web/src/main/webapp/styles/standard.css;96;212;16
10/12/2012 09:55:47;whp-web/src/main/webapp/styles/standard.css;96;212;16
10/12/2012 09:54:47;whp-web/src/main/webapp/styles/standard.css;96;212;16
10/12/2012 04:48:08;whp-web/src/main/webapp/styles/standard.css;96;209;16
10/12/2012 04:47:35;whp-web/src/main/webapp/styles/standard.css;96;209;16
07/12/2012 04:54:20;whp-web/src/main/webapp/styles/standard.css;93;203;16
07/12/2012 04:53:22;whp-web/src/main/webapp/styles/standard.css;93;203;16
06/12/2012 09:55:15;whp-web/src/main/webapp/styles/standard.css;93;203;16
06/12/2012 09:54:54;whp-web/src/main/webapp/styles/standard.css;93;203;16
06/12/2012 09:10:20;whp-web/src/main/webapp/styles/standard.css;93;202;16
06/12/2012 09:10:20;whp-web/src/main/webapp/styles/standard.css;93;202;16
06/12/2012 09:04:19;whp-web/src/main/webapp/styles/standard.css;93;202;16
06/12/2012 08:31:24;whp-web/src/main/webapp/styles/standard.css;93;202;16
27/11/2012 04:34:21;whp-web/src/main/webapp/styles/standard.css;91;202;16
22/11/2012 08:22:11;whp-web/src/main/webapp/styles/standard.css;91;202;16
16/11/2012 05:10:27;whp-web/src/main/webapp/styles/standard.css;89;200;16
15/11/2012 10:45:41;whp-web/src/main/webapp/styles/standard.css;89;198;16
15/11/2012 10:24:11;whp-web/src/main/webapp/styles/standard.css;89;197;17
15/11/2012 10:14:22;whp-web/src/main/webapp/styles/standard.css;89;197;17
14/11/2012 10:08:50;whp-web/src/main/webapp/styles/standard.css;92;194;15
09/11/2012 06:57:29;whp-web/src/main/webapp/styles/standard.css;92;192;15
09/11/2012 06:14:37;whp-web/src/main/webapp/styles/standard.css;92;192;15
08/11/2012 10:50:42;whp-web/src/main/webapp/styles/standard.css;95;192;15
08/11/2012 09:49:28;whp-web/src/main/webapp/styles/standard.css;92;191;15
07/11/2012 09:59:47;whp-web/src/main/webapp/styles/standard.css;92;191;15
06/11/2012 10:00:53;whp-web/src/main/webapp/styles/standard.css;92;191;15
06/11/2012 06:28:51;whp-web/src/main/webapp/styles/standard.css;92;186;15
05/11/2012 11:44:49;whp-web/src/main/webapp/styles/standard.css;88;169;16
05/11/2012 10:52:47;whp-web/src/main/webapp/styles/bootstrap.css;542;971;0
05/11/2012 10:52:47;whp-web/src/main/webapp/styles/datepicker.css (removed);0;0;0
05/11/2012 10:52:47;whp-web/src/main/webapp/styles/jquery-ui-1.9.0.custom.css (removed);0;0;0
05/11/2012 10:52:47;whp-web/src/main/webapp/styles/jquery-ui-1.9.0.custom.min.css (removed);0;0;0
05/11/2012 10:52:47;whp-web/src/main/webapp/styles/jquery-ui-theme.css (removed);0;0;0
05/11/2012 10:52:47;whp-web/src/main/webapp/styles/standard.css;88;168;16
05/11/2012 09:04:45;whp-web/src/main/webapp/styles/standard.css;88;168;16
05/11/2012 07:24:36;whp-web/src/main/webapp/styles/bootstrap-oldfile.css (removed);0;0;0
05/11/2012 07:24:36;whp-web/src/main/webapp/styles/jquery-ui-1.9.1.custom.css;36;354;0
05/11/2012 07:24:36;whp-web/src/main/webapp/styles/jquery-ui-1.9.1.custom.min.css;37;231;0
05/11/2012 07:24:36;whp-web/src/main/webapp/styles/jquery.alerts.css (removed);0;0;0
31/10/2012 05:36:22;whp-web/src/main/webapp/styles/standard.css;88;168;16
30/10/2012 13:13:33;whp-web/src/main/webapp/styles/standard.css;88;166;16
30/10/2012 11:59:10;whp-web/src/main/webapp/styles/standard.css;84;166;16
24/10/2012 10:19:49;whp-web/src/main/webapp/styles/standard.css;84;165;16
24/10/2012 09:15:41;whp-web/src/main/webapp/styles/standard.css;84;164;16
24/10/2012 08:58:09;whp-web/src/main/webapp/styles/standard.css;82;164;16
24/10/2012 05:51:16;whp-web/src/main/webapp/styles/jquery-ui-1.9.0.custom.css;34;340;0
24/10/2012 05:51:16;whp-web/src/main/webapp/styles/jquery-ui-1.9.0.custom.min.css;35;219;0
24/10/2012 05:51:16;whp-web/src/main/webapp/styles/standard.css;82;163;15
23/10/2012 13:59:56;whp-web/src/main/webapp/styles/standard.css;81;150;14
23/10/2012 05:21:25;whp-web/src/main/webapp/styles/bootstrap-oldfile.css;389;864;0
23/10/2012 05:21:25;whp-web/src/main/webapp/styles/bootstrap.min.css;516;751;50
23/10/2012 05:21:25;whp-web/src/main/webapp/styles/standard.css;75;147;23
22/10/2012 11:33:48;whp-web/src/main/webapp/styles/bootstrap.css;389;864;0
22/10/2012 11:33:48;whp-web/src/main/webapp/styles/standard.css;67;136;23
21/10/2012 12:59:51;whp-web/src/main/webapp/styles/standard.css;55;126;25
21/10/2012 07:09:52;whp-web/src/main/webapp/styles/bootstrap.css;389;864;0
19/10/2012 06:51:56;whp-web/src/main/webapp/styles/standard.css;53;122;24
15/10/2012 10:18:40;whp-web/src/main/webapp/styles/standard.css;53;122;23
15/10/2012 10:16:46;whp-web/src/main/webapp/styles/standard.css;53;121;23
15/10/2012 08:03:12;whp-web/src/main/webapp/styles/standard.css;53;121;23
15/10/2012 08:03:12;whp-web/src/main/webapp/styles/standard.css;53;120;24
14/10/2012 08:02:46;whp-web/src/main/webapp/styles/standard.css;53;118;23
14/10/2012 02:07:58;whp-web/src/main/webapp/styles/standard.css;53;118;23
13/10/2012 09:22:35;whp-web/src/main/webapp/styles/standard.css;53;116;23
12/10/2012 05:51:05;whp-web/src/main/webapp/styles/standard.css;53;113;23
09/10/2012 07:01:55;whp-web/src/main/webapp/styles/standard.css;53;113;22
06/10/2012 11:07:30;whp-web/src/main/webapp/styles/standard.css;53;109;21
06/10/2012 11:05:03;whp-web/src/main/webapp/styles/standard.css;53;108;21
06/10/2012 11:00:33;whp-web/src/main/webapp/styles/standard.css;53;98;21
06/10/2012 11:00:09;whp-web/src/main/webapp/styles/standard.css;53;97;22
06/10/2012 11:00:04;whp-web/src/main/webapp/styles/standard.css;53;95;22
06/10/2012 10:59:22;whp-web/src/main/webapp/styles/standard.css;53;93;22
06/10/2012 10:59:12;whp-web/src/main/webapp/styles/standard.css;52;93;22
04/10/2012 07:27:29;whp-web/src/main/webapp/styles/motech-paginator-pagination.css;4;13;0
02/10/2012 05:44:44;whp-web/src/main/webapp/recline/css/graph.css;2;6;0
02/10/2012 05:44:44;whp-web/src/main/webapp/recline/css/grid.css;9;22;0
02/10/2012 05:44:44;whp-web/src/main/webapp/recline/css/map.css;2;3;0
02/10/2012 05:44:44;whp-web/src/main/webapp/recline/css/multiview.css;12;23;0
02/10/2012 05:44:44;whp-web/src/main/webapp/recline/css/site/pygments.css;0;61;0
02/10/2012 05:44:44;whp-web/src/main/webapp/recline/css/site/site.css;16;19;0
