Data do commit;Arquivo;Seletores de Tipo;Seletores de Classe;Seletores de ID
14/10/2014 18:39:19;modules/openlmis-web/src/main/webapp/public/less/login.less;22;29;0
24/07/2014 07:42:09;modules/openlmis-web/src/main/webapp/public/less/content.less;109;374;48
24/07/2014 07:42:09;modules/openlmis-web/src/main/webapp/public/less/distribution.less;25;79;22
23/07/2014 13:57:28;modules/openlmis-web/src/main/webapp/public/less/navigation.less;15;11;1
23/07/2014 13:10:50;modules/openlmis-web/src/main/webapp/public/less/content.less;109;373;48
23/07/2014 05:36:38;modules/openlmis-web/src/main/webapp/public/less/content.less;110;366;48
21/07/2014 09:48:15;modules/openlmis-web/src/main/webapp/public/less/content.less;110;366;47
21/07/2014 06:22:10;modules/openlmis-web/src/main/webapp/public/less/content.less;109;366;47
17/07/2014 07:40:39;modules/openlmis-web/src/main/webapp/public/less/content.less;109;365;46
17/07/2014 03:56:12;modules/openlmis-web/src/main/webapp/public/less/base.less;27;25;1
17/07/2014 03:56:12;modules/openlmis-web/src/main/webapp/public/less/content.less;109;366;46
17/07/2014 02:43:55;modules/openlmis-web/src/main/webapp/public/less/content.less;109;364;46
17/07/2014 02:29:49;modules/openlmis-web/src/main/webapp/public/less/content.less;109;363;47
16/07/2014 08:08:57;modules/openlmis-web/src/main/webapp/public/less/content.less;108;361;44
15/07/2014 02:11:43;modules/openlmis-web/src/main/webapp/public/less/content.less;108;361;43
14/07/2014 04:00:30;modules/openlmis-web/src/main/webapp/public/less/content.less;108;361;43
14/07/2014 03:14:11;modules/openlmis-web/src/main/webapp/public/less/content.less;108;360;41
11/07/2014 07:28:44;modules/openlmis-web/src/main/webapp/public/less/content.less;108;360;41
11/07/2014 07:20:15;modules/openlmis-web/src/main/webapp/public/less/content.less;108;360;41
10/07/2014 08:18:06;modules/openlmis-web/src/main/webapp/public/less/content.less;108;359;40
08/07/2014 08:29:54;modules/openlmis-web/src/main/webapp/public/less/content.less;108;359;39
01/07/2014 04:03:27;modules/openlmis-web/src/main/webapp/public/less/base.less;27;24;1
30/06/2014 02:37:45;modules/openlmis-web/src/main/webapp/public/less/content.less;108;359;39
30/06/2014 02:37:45;modules/openlmis-web/src/main/webapp/public/less/base.less;27;25;1
30/06/2014 02:37:45;modules/openlmis-web/src/main/webapp/public/less/content.less;108;358;39
27/06/2014 02:05:48;modules/openlmis-web/src/main/webapp/public/less/base.less;27;24;1
27/06/2014 02:05:48;modules/openlmis-web/src/main/webapp/public/less/content.less;108;355;39
26/06/2014 06:41:11;modules/openlmis-web/src/main/webapp/public/less/base.less;27;23;1
26/06/2014 06:41:11;modules/openlmis-web/src/main/webapp/public/less/content.less;108;356;39
25/06/2014 06:54:57;modules/openlmis-web/src/main/webapp/public/less/base.less;27;22;1
25/06/2014 06:54:57;modules/openlmis-web/src/main/webapp/public/less/content.less;108;354;38
25/06/2014 06:54:57;modules/openlmis-web/src/main/webapp/public/less/distribution.less;23;75;18
25/06/2014 04:22:36;modules/openlmis-web/src/main/webapp/public/less/content.less;108;355;38
24/06/2014 22:12:20;modules/openlmis-web/src/main/webapp/public/less/accordion.less;4;2;0
24/06/2014 22:12:20;modules/openlmis-web/src/main/webapp/public/less/app.less;0;0;0
24/06/2014 22:12:20;modules/openlmis-web/src/main/webapp/public/less/base.less;27;20;1
24/06/2014 22:12:20;modules/openlmis-web/src/main/webapp/public/less/content.less;104;333;33
24/06/2014 22:12:20;modules/openlmis-web/src/main/webapp/public/less/distribution.less;23;76;18
24/06/2014 09:09:58;modules/openlmis-web/src/main/webapp/public/less/content.less;107;344;36
24/06/2014 03:36:00;modules/openlmis-web/src/main/webapp/public/less/content.less;107;343;36
22/06/2014 13:19:01;modules/openlmis-web/src/main/webapp/public/less/content.less;107;343;36
21/06/2014 13:28:53;modules/openlmis-web/src/main/webapp/public/less/content.less;105;337;36
20/06/2014 05:14:01;modules/openlmis-web/src/main/webapp/public/less/content.less;105;337;36
19/06/2014 09:28:42;modules/openlmis-web/src/main/webapp/public/less/content.less;104;335;35
17/06/2014 06:58:55;modules/openlmis-web/src/main/webapp/public/less/base.less;27;22;1
17/06/2014 06:58:55;modules/openlmis-web/src/main/webapp/public/less/content.less;104;334;35
17/06/2014 03:30:43;modules/openlmis-web/src/main/webapp/public/less/content.less;104;334;34
16/06/2014 08:25:37;modules/openlmis-web/src/main/webapp/public/less/base.less;27;21;1
16/06/2014 02:12:15;modules/openlmis-web/src/main/webapp/public/less/content.less;104;333;33
10/06/2014 12:34:53;modules/openlmis-web/src/main/webapp/public/less/content.less;104;333;33
10/06/2014 05:41:28;modules/openlmis-web/src/main/webapp/public/less/content.less;104;333;33
10/06/2014 03:15:19;modules/openlmis-web/src/main/webapp/public/less/accordion.less;4;2;0
10/06/2014 03:15:19;modules/openlmis-web/src/main/webapp/public/less/app.less;0;0;0
10/06/2014 03:15:19;modules/openlmis-web/src/main/webapp/public/less/base.less;27;20;1
10/06/2014 03:15:19;modules/openlmis-web/src/main/webapp/public/less/content.less;104;333;32
10/06/2014 03:15:19;modules/openlmis-web/src/main/webapp/public/less/distribution.less;23;76;18
06/06/2014 02:24:39;modules/openlmis-web/src/main/webapp/public/less/content.less;102;331;30
04/06/2014 04:30:08;modules/openlmis-web/src/main/webapp/public/less/content.less;102;331;30
02/06/2014 03:05:43;modules/openlmis-web/src/main/webapp/public/less/content.less;102;331;30
21/05/2014 06:10:27;modules/openlmis-web/src/main/webapp/public/less/content.less;99;314;25
21/05/2014 06:10:27;modules/openlmis-web/src/main/webapp/public/less/distribution.less;30;83;22
20/05/2014 04:08:38;modules/openlmis-web/src/main/webapp/public/less/distribution.less;29;83;22
19/05/2014 07:49:38;modules/openlmis-web/src/main/webapp/public/less/content.less;101;329;26
19/05/2014 07:49:37;modules/openlmis-web/src/main/webapp/public/less/app.less;0;0;0
19/05/2014 07:49:37;modules/openlmis-web/src/main/webapp/public/less/font-awesome.less (removed);0;0;0
19/05/2014 07:49:37;modules/openlmis-web/src/main/webapp/public/less/font-awesome/bootstrap.less;17;12;0
19/05/2014 07:49:37;modules/openlmis-web/src/main/webapp/public/less/font-awesome/core.less;12;14;0
19/05/2014 07:49:37;modules/openlmis-web/src/main/webapp/public/less/font-awesome/extras.less;12;10;0
19/05/2014 07:49:37;modules/openlmis-web/src/main/webapp/public/less/font-awesome/font-awesome-mixins.less;4;4;0
19/05/2014 07:49:37;modules/openlmis-web/src/main/webapp/public/less/font-awesome/font-awesome.less;0;0;0
19/05/2014 07:49:37;modules/openlmis-web/src/main/webapp/public/less/font-awesome/icons.less;0;378;0
19/05/2014 07:49:37;modules/openlmis-web/src/main/webapp/public/less/font-awesome/path.less;9;0;0
19/05/2014 07:49:37;modules/openlmis-web/src/main/webapp/public/less/font-awesome/variables.less;0;0;0
19/05/2014 07:49:37;modules/openlmis-web/src/main/webapp/public/less/content.less;101;328;26
19/05/2014 07:49:37;modules/openlmis-web/src/main/webapp/public/less/mixins.less;1;9;0
16/05/2014 04:18:05;modules/openlmis-web/src/main/webapp/public/less/content.less;104;321;27
13/05/2014 08:37:53;modules/openlmis-web/src/main/webapp/public/less/login.less;22;29;0
13/05/2014 06:07:40;modules/openlmis-web/src/main/webapp/public/less/content.less;100;319;26
06/05/2014 08:12:40;modules/openlmis-web/src/main/webapp/public/less/content.less;100;318;27
05/05/2014 08:38:52;modules/openlmis-web/src/main/webapp/public/less/content.less;100;318;26
02/05/2014 03:47:01;modules/openlmis-web/src/main/webapp/public/less/content.less;100;318;26
02/05/2014 03:12:20;modules/openlmis-web/src/main/webapp/public/less/content.less;100;316;26
02/05/2014 03:12:20;modules/openlmis-web/src/main/webapp/public/less/mixins.less;1;8;0
18/04/2014 05:04:26;modules/openlmis-web/src/main/webapp/public/less/content.less;99;316;25
18/04/2014 04:13:23;modules/openlmis-web/src/main/webapp/public/less/content.less;99;315;26
14/04/2014 04:50:28;modules/openlmis-web/src/main/webapp/public/less/content.less;99;313;25
11/04/2014 07:38:29;modules/openlmis-web/src/main/webapp/public/less/distribution.less;29;83;21
09/04/2014 02:39:38;modules/openlmis-web/src/main/webapp/public/less/content.less;99;312;25
09/04/2014 02:39:38;modules/openlmis-web/src/main/webapp/public/less/navigation.less;16;12;1
07/04/2014 04:30:47;modules/openlmis-web/src/main/webapp/public/less/distribution.less;29;79;18
07/04/2014 04:28:47;modules/openlmis-web/src/main/webapp/public/less/content.less;99;314;25
07/04/2014 04:28:46;modules/openlmis-web/src/main/webapp/public/less/content.less;99;313;25
07/04/2014 04:28:45;modules/openlmis-web/src/main/webapp/public/less/content.less;99;312;25
07/04/2014 04:28:45;modules/openlmis-web/src/main/webapp/public/less/navigation.less;16;12;1
02/04/2014 08:45:13;modules/openlmis-web/src/main/webapp/public/less/content.less;99;315;25
27/03/2014 07:33:33;modules/openlmis-web/src/main/webapp/public/less/content.less;99;314;25
26/03/2014 07:55:26;modules/openlmis-web/src/main/webapp/public/less/content.less;99;313;25
21/03/2014 04:38:24;modules/openlmis-web/src/main/webapp/public/less/content.less;99;312;25
21/03/2014 04:38:24;modules/openlmis-web/src/main/webapp/public/less/navigation.less;16;12;1
18/03/2014 07:53:43;modules/openlmis-web/src/main/webapp/public/less/content.less;99;312;25
18/03/2014 06:42:39;modules/openlmis-web/src/main/webapp/public/less/content.less;99;312;25
18/03/2014 03:26:36;modules/openlmis-web/src/main/webapp/public/less/base.less;27;19;1
11/03/2014 09:20:43;modules/openlmis-web/src/main/webapp/public/less/content.less;99;311;25
11/03/2014 09:20:43;modules/openlmis-web/src/main/webapp/public/less/content.less;99;310;25
11/03/2014 02:20:10;modules/openlmis-web/src/main/webapp/public/less/base.less;27;18;1
11/03/2014 02:20:10;modules/openlmis-web/src/main/webapp/public/less/content.less;99;310;25
11/03/2014 02:20:10;modules/openlmis-web/src/main/webapp/public/less/form-toolbar.less;3;21;1
11/03/2014 02:20:10;modules/openlmis-web/src/main/webapp/public/less/navigation.less;16;12;1
07/03/2014 04:36:29;modules/openlmis-web/src/main/webapp/public/less/navigation.less;14;9;0
06/03/2014 09:03:27;modules/openlmis-web/src/main/webapp/public/less/content.less;99;311;24
25/02/2014 02:42:52;modules/openlmis-web/src/main/webapp/public/less/content.less;99;310;24
24/02/2014 08:35:39;modules/openlmis-web/src/main/webapp/public/less/content.less;99;310;24
20/02/2014 04:06:22;modules/openlmis-web/src/main/webapp/public/less/content.less;99;309;22
19/02/2014 09:34:08;modules/openlmis-web/src/main/webapp/public/less/distribution.less;28;79;18
18/02/2014 09:08:40;modules/openlmis-web/src/main/webapp/public/less/content.less;98;309;21
18/02/2014 09:08:40;modules/openlmis-web/src/main/webapp/public/less/distribution.less;27;79;18
18/02/2014 08:35:41;modules/openlmis-web/src/main/webapp/public/less/distribution.less;27;80;16
17/02/2014 05:46:43;modules/openlmis-web/src/main/webapp/public/less/content.less;98;308;23
17/02/2014 04:36:00;modules/openlmis-web/src/main/webapp/public/less/distribution.less;26;79;16
13/02/2014 03:43:59;modules/openlmis-web/src/main/webapp/public/less/distribution.less;26;78;17
13/02/2014 03:43:59;modules/openlmis-web/src/main/webapp/public/less/distribution.less;26;78;16
13/02/2014 03:43:59;modules/openlmis-web/src/main/webapp/public/less/content.less;98;308;23
13/02/2014 03:43:59;modules/openlmis-web/src/main/webapp/public/less/content.less;98;307;23
13/02/2014 03:43:59;modules/openlmis-web/src/main/webapp/public/less/distribution.less;26;78;16
12/02/2014 03:17:07;modules/openlmis-web/src/main/webapp/public/less/content.less;98;306;23
12/02/2014 03:17:07;modules/openlmis-web/src/main/webapp/public/less/distribution.less;26;77;16
05/02/2014 16:32:29;modules/openlmis-web/src/main/webapp/public/less/distribution.less;26;75;15
05/02/2014 13:36:01;modules/openlmis-web/src/main/webapp/public/less/distribution.less;26;74;15
05/02/2014 04:23:37;modules/openlmis-web/src/main/webapp/public/less/content.less;98;306;23
29/01/2014 08:51:25;modules/openlmis-web/src/main/webapp/public/less/distribution.less;26;73;14
29/01/2014 08:39:00;modules/openlmis-web/src/main/webapp/public/less/distribution.less;26;72;14
28/01/2014 16:45:49;modules/openlmis-web/src/main/webapp/public/lib/angular/angular-csp.css;5;3;0
28/01/2014 10:32:23;modules/openlmis-web/src/main/webapp/public/less/content.less;98;306;23
28/01/2014 08:33:15;modules/openlmis-web/src/main/webapp/public/less/distribution.less;25;73;12
28/01/2014 08:33:15;modules/openlmis-web/src/main/webapp/public/less/distribution.less;25;72;12
